original_comment,sentiment,confidence,post_url
kaaaaa cauuuu mania,negative,0.6405,https://www.instagram.com/reels/DZKBO1RoKIf/
hati hati guys banyak buzzer dari mafia mafia yg terganggu yg komen,negative,0.998,https://www.instagram.com/reels/DZKBO1RoKIf/
buset enak banget ngomongnya saya serahkan ke mereka ,positive,0.981,https://www.instagram.com/reels/DZKBO1RoKIf/
pada dasarnya terus yang baik pak??? hasilnya lihat ga tuh gmna???? ada yang salah itu woiii dalam kinerja pemerintahan prabowo.. jangan denial lh,negative,0.9717,https://www.instagram.com/reels/DZKBO1RoKIf/
banyak sekali buzzer buzzer mafia yg komen,negative,0.9312,https://www.instagram.com/reels/DZKBO1RoKIf/
di bawa kendali?????? ,negative,0.9641,https://www.instagram.com/reels/DZKBO1RoKIf/
belom smpet ketemu?lu kalo tau jalan keluar nya tinggal telp aja bos..,neutral,0.5664,https://www.instagram.com/reels/DZKBO1RoKIf/
mundur aja pur .. biar di pegang keluarganya prabowo menku nya ,neutral,0.5145,https://www.instagram.com/reels/DZKBO1RoKIf/
"mundur aja pak lebih baik, pusing saya dnger komentar bapak yg ngles terus",negative,0.9949,https://www.instagram.com/reels/DZKBO1RoKIf/
my 3 topnotch websites to practice english,neutral,0.8064,https://www.instagram.com/reels/DZKBO1RoKIf/
"artinya investasi asing itu bukan sekedar masalah tanam duit dapet untung dll, tapi sebagai alat perang memerangi suatu negara karena kebijakan pemerintah yg gak nurut maunya para konglomerat asing.",negative,0.9932,https://www.instagram.com/reels/DZKBO1RoKIf/
efek terlalu banyak titip menitip,negative,0.9951,https://www.instagram.com/reels/DZKBO1RoKIf/
tp org desa gak pakai dollar kok skrg panik?,negative,0.9928,https://www.instagram.com/reels/DZKBO1RoKIf/
aroma bakal diganti si pur nih ,neutral,0.7442,https://www.instagram.com/reels/DZKBO1RoKIf/
hmmm ingat beli beras  orang di desa tidak pakai dolar guyss... wkkkkkk bobo aghh pusingg,negative,0.7176,https://www.instagram.com/reels/DZKBO1RoKIf/
"narikin pajak abis²an lu org udh, karma ye? mknya jgn dzolim",negative,0.984,https://www.instagram.com/reels/DZKBO1RoKIf/
kasi mimpi terus,negative,0.8056,https://www.instagram.com/reels/DZKBO1RoKIf/
"serahkan rp ke kejaksaan, mereka yg membuat investors hengkang, cb google masuk kursi pesakitan, hancur 22,000",negative,0.9731,https://www.instagram.com/reels/DZKBO1RoKIf/
"pas lihat akun yg koment, pengikut nya 0 ",neutral,0.6704,https://www.instagram.com/reels/DZKBO1RoKIf/
masih nunggu dia memperbaiki rupiah dalam satu malem,negative,0.8138,https://www.instagram.com/reels/DZKBO1RoKIf/
"langsung aja pak, tunjuk kambing hitamnya....",negative,0.8739,https://www.instagram.com/reels/DZKBO1RoKIf/
ekonomi rapuh ekonomi bingung,negative,0.8224,https://www.instagram.com/reels/DZKBO1RoKIf/
fiskalnya amburadul...pur kebanyaken ngecepek...ngelantur bisa ini bisa itu hasil...zhonk,negative,0.9992,https://www.instagram.com/reels/DZKBO1RoKIf/
apa mungkin biar genap sampai 20rb? ,negative,0.8654,https://www.instagram.com/reels/DZKBO1RoKIf/
yuk bisa yuk 1 usd rp 1jt,neutral,0.9717,https://www.instagram.com/reels/DZKBO1RoKIf/
gubernur bi itu ponakan nya si wowo yg sangat tidak berkompeten itu,negative,0.9991,https://www.instagram.com/reels/DZKBO1RoKIf/
"mundur aja, mending balik jadi trader aja ",negative,0.9903,https://www.instagram.com/reels/DZKBO1RoKIf/
manuisa omon omon,negative,0.5004,https://www.instagram.com/reels/DZKBO1RoKIf/
"rudo made it, cosko  golden brown best part slowed",positive,0.9077,https://www.instagram.com/reels/DZKBO1RoKIf/
"panik sih,engga... stress? iya...",negative,0.9804,https://www.instagram.com/reels/DZKBO1RoKIf/
ya emng dari awal kan emng urusan bi anjirr bukan urusan diaa cuman bi ga becus kerjanya  yagasi? cmiiw,negative,0.9987,https://www.instagram.com/reels/DZKBO1RoKIf/
bapak ga panik ini buibuk panik pak apa2 naik boro2 bisa beli skincare ini mah,positive,0.6319,https://www.instagram.com/reels/DZKBO1RoKIf/
3129 disuruh tidur,neutral,0.6502,https://www.instagram.com/reels/DZKBO1RoKIf/
"gabetul lagi lah kalo gini terus pak. ke negeri jiran ajalah kabur, di sana sekalian bhs eng karna di sana lumayan jg bhs eng dan mandarinnya, terus klo mau upgrade lagi dan eng sdh memadai move ke mata pencahariannya yg dollar ",negative,0.9634,https://www.instagram.com/reels/DZKBO1RoKIf/
ujung2nya juga di serahkan ke masyarakat,negative,0.6479,https://www.instagram.com/reels/DZKBO1RoKIf/
"asal bunyi kadang beliau kl ngomong, kayak peramal kadang bener kadang salah ",negative,0.9061,https://www.instagram.com/reels/DZKBO1RoKIf/
harusnya presiden membuat tim secepatnya utk menurunkan nilai tukar apa saja tindakannya,negative,0.6148,https://www.instagram.com/reels/DZKBO1RoKIf/
kelihatan udh muak dia. udh kyk. yah udhlah. mampus aja lu sana. capek gw. kyk gitu.. krna banyaknya orang jokowi msh menjabat. d tambah prabowo cuman oke gas. oke gas. dengerin seskab doang. bapak in udh muak kyknya. capek kerja. dianggap badut sama orng pemerintahan,negative,0.999,https://www.instagram.com/reels/DZKBO1RoKIf/
"yang panik pengusaha, kita mah biasa biasa saja, gak ada pengaruh yg penting bisa makan setiap harinya",negative,0.9912,https://www.instagram.com/reels/DZKBO1RoKIf/
wkwkwk..mereka tidak memiliki jalan keluar.. serahkan segalanya kepada yg kuasa,negative,0.9939,https://www.instagram.com/reels/DZKBO1RoKIf/
ciee lempar lepmaran,negative,0.973,https://www.instagram.com/reels/DZKBO1RoKIf/
jadi mentri paling dicari wartawan bapak ini,neutral,0.8854,https://www.instagram.com/reels/DZKBO1RoKIf/
lorrrrr kemarin yakin skrg kok lempar ke bi?,negative,0.9748,https://www.instagram.com/reels/DZKBO1RoKIf/
mac demarco  moonlight on the river,neutral,0.9732,https://www.instagram.com/reels/DZKBO1RoKIf/
"purbaya sudah ga bisa asal ngomong lagi!. awal2 ngomongnya tinggi  mudah buat janji!!!. menganggap enteng masalah! kalo sekarang lebih realistis, ga gampang lagi ngomong yg manis2. kirain awalnya menjanjikan, ternyata....",negative,0.9778,https://www.instagram.com/reels/DZKBO1RoKIf/
cuci tangan mulu si pur,negative,0.9963,https://www.instagram.com/reels/DZKBO1RoKIf/
"kasihan ..pusing beliau, malah ga tau apa penyebabnya apa....mumet ",negative,0.9991,https://www.instagram.com/reels/DZKBO1RoKIf/
"sinyal bakal diganti, makanya males ngapa2in",negative,0.9831,https://www.instagram.com/reels/DZKBO1RoKIf/
kok ga senyum  pak pur???,negative,0.9825,https://www.instagram.com/reels/DZKBO1RoKIf/
"purbaya juga bingung, gubernur bi gk bisa di senggol",negative,0.9035,https://www.instagram.com/reels/DZKBO1RoKIf/
"prabowo suruh liat purbaya, purbaya lempar ke b meanwhile ibu2 di rumah bertarung masing2",neutral,0.6032,https://www.instagram.com/reels/DZKBO1RoKIf/
bahaya nih kalo menkeunya dah gak ada senyumnya,negative,0.9978,https://www.instagram.com/reels/DZKBO1RoKIf/
terserah dirimulah... negara macam apa ni? ,negative,0.9985,https://www.instagram.com/reels/DZKBO1RoKIf/
aurèlia  sailor song butidobelieveingod,negative,0.4921,https://www.instagram.com/reels/DZKBO1RoKIf/
emng purbaya bisa krj  cuma filing halu donk ??,negative,0.9717,https://www.instagram.com/reels/DZKBO1RoKIf/
gubernur bi harus diganti dgn kualitas setara dan seintegritas spt purbaya baru negara ini baik,positive,0.789,https://www.instagram.com/reels/DZKBO1RoKIf/
ada istilah its ok not to be ok. kuncinya harus berani bilang ke ri1 bahwa imagenya sedang buruk di antaranya pemborosan dan program yang tak tepat. gak usah denial. data gak pernah bohong,negative,0.514,https://www.instagram.com/reels/DZKBO1RoKIf/
rumornya akan segera direshuffle itu menkeu..tapi gantinya siapa ?,neutral,0.5649,https://www.instagram.com/reels/DZKBO1RoKIf/
"bapak sesekali coba ke warung madura beli indomie satu,telor satu dan rokok sebatang cukup enggak uang nya 10 rb",positive,0.5137,https://www.instagram.com/reels/DZKBO1RoKIf/
emg selama ini elo udeh ngapain aje poor ,negative,0.9985,https://www.instagram.com/reels/DZKBO1RoKIf/
"pak pur pindah bi ajah pak, yg titipan itu gak guna",negative,0.9303,https://www.instagram.com/reels/DZKBO1RoKIf/
apa susahnya sih jangan sok terlalu kuat,negative,0.9911,https://www.instagram.com/reels/DZKBO1RoKIf/
"ya situ gak panikkkkkk..... lhak kita ????? kagak panikkk??? beras naik, minyak naik, listrik naik, tempe naikk, ikan naikkkk... kaya begitu gak panikkk bpk terhormat??",negative,0.9488,https://www.instagram.com/reels/DZKBO1RoKIf/
kasihan juga beliau semua ditanya kedia ,negative,0.9986,https://www.instagram.com/reels/DZKBO1RoKIf/
kentut pur pur,neutral,0.3757,https://www.instagram.com/reels/DZKBO1RoKIf/
ancur ancur wo woprabowo,negative,0.9981,https://www.instagram.com/reels/DZKBO1RoKIf/
dari awal sih gk yakin nih org bisa ngimbangi ilmu smi apa lg awal dia udah gelontorkan 200t,negative,0.9695,https://www.instagram.com/reels/DZKBO1RoKIf/
"dolar 18rebu , harga2 naik , woy  wowo,purbaya,gub bi , rakyat menjerit woy !!!",neutral,0.6385,https://www.instagram.com/reels/DZKBO1RoKIf/
mr. pur mulai sulit senyum ,negative,0.9905,https://www.instagram.com/reels/DZKBO1RoKIf/
tanda tanda ini ...,neutral,0.7093,https://www.instagram.com/reels/DZKBO1RoKIf/
fundamental kita masih sangat baik yah pak ,positive,0.9892,https://www.instagram.com/reels/DZKBO1RoKIf/
lain hari lain omongan ,negative,0.9737,https://www.instagram.com/reels/DZKBO1RoKIf/
"rupiah diserahkan ke bi tetapi uu p2sk disahkan hari itu juga hmmm setelah ada mandat baru bahwa bank harus mendukung pertumbuhan ekonomi berkelanjutan dan juga harus bersedia diawasi dpr, kira2 market apa yg akan dilakukankan ya",neutral,0.7708,https://www.instagram.com/reels/DZKBO1RoKIf/
"bentar lg rupiah dibenerin ke15000, biar tengkulak sama buzzer2 si soroz jantungan, lihat saja diatas tgl 15 nanti",negative,0.9795,https://www.instagram.com/reels/DZKBO1RoKIf/
"lempar tangan sembunyi batu ya, om ?",negative,0.9339,https://www.instagram.com/reels/DZKBO1RoKIf/
"kalau dia panik , gk ada yang mau investasi lagi, tapi kalo dibiarin anjlok hancur juga indonesia. yang kecekik kan rakyat bukan pemerintahan",negative,0.9983,https://www.instagram.com/reels/DZKBO1RoKIf/
kami yg panik pak,negative,0.9815,https://www.instagram.com/reels/DZKBO1RoKIf/
keren bgt buzzer darithe_imfbeneran keren usahanya ,positive,0.9974,https://www.instagram.com/reels/DZKBO1RoKIf/
sinetron apa lg ni. menkeu nya nanti jg diganti sodaranya pak wowo biar komplit krn katanya org desa g pake dollar,negative,0.8091,https://www.instagram.com/reels/DZKBO1RoKIf/
purbayayudhikatanya mau di ganti? seriusan nanya?,negative,0.8449,https://www.instagram.com/reels/DZKBO1RoKIf/
"sbg org awam sy taunya sebagian besar masyarakat pd ga punya duit, yg punya duit nabung di luar negeri lebih ga ribet ",negative,0.688,https://www.instagram.com/reels/DZKBO1RoKIf/
ganti chatib basri,neutral,0.9632,https://www.instagram.com/reels/DZKBO1RoKIf/
noh di bi ada si ponakan si onoh ama gub bi nya ngapain aja?? tahu diri dong siap resign ..!!,negative,0.9986,https://www.instagram.com/reels/DZKBO1RoKIf/
hendra_wijaya29iya lagipadahal bagus beliau,positive,0.7726,https://www.instagram.com/reels/DZKBO1RoKIf/
apa yang diharapkan dari pejabat2 yg presiden nya si anti kritik. rezim ini sibuk ngurusin rakyatsibuk ngurusin ternak2,negative,0.9986,https://www.instagram.com/reels/DZKBO1RoKIf/
"bank indonesia bisa dianalogikan seperti dokter. jika kondisi tidak baik, maka melakukan tindakan seperti suku bunga atau masuk ke pasar valas.pemerintah bisa dianalogikan seperti pengatur pola hidup, biar sehat. dalam konteks ekonomi, pemerintah harus menjaga apbn, mendorong ekspor, mengurangi impor, investasi stabil dll.",positive,0.5047,https://www.instagram.com/reels/DZKBO1RoKIf/
bapak gak panik karena penghasilan sebagai menteri abs asal bapak senang banyak. bagaimana nasib rakyat yang pajaknya untuk gaji bapak?,negative,0.9862,https://www.instagram.com/reels/DZKBO1RoKIf/
antonio carlos jobim  look to the sky,neutral,0.9184,https://www.instagram.com/reels/DZKBO1RoKIf/
yg atas gak bakal panik yg panik itu golongan ke bawah apa apa jadi naik sedangkan pendapatan tetap sama,positive,0.5615,https://www.instagram.com/reels/DZKBO1RoKIf/
gak panik sih tapi lesu ya pak,negative,0.8454,https://www.instagram.com/reels/DZKBO1RoKIf/
menteri gak ada gunanya ,negative,0.9989,https://www.instagram.com/reels/DZKBO1RoKIf/
lo ga panik tapi gw panik lihat kenyataanlo enak jabatan dan income gede!,negative,0.7921,https://www.instagram.com/reels/DZKBO1RoKIf/
"omon omon lah lu pak, pada dasarnya lu gak bisa atasin ini, gila si ini pemerintahan",negative,0.9988,https://www.instagram.com/reels/DZKBO1RoKIf/
"bukan masalah anda panik, tapi rakyat yang panik",negative,0.9936,https://www.instagram.com/reels/DZKBO1RoKIf/
pak purnomo terlalu royall ga berani ngebully orang orang nafsuan . kasian .,negative,0.9992,https://www.instagram.com/reels/DZKBO1RoKIf/
"orang jujur kerja nya jd kurus,, ekhh yg pembohong gemuk dandan dadan",negative,0.999,https://www.instagram.com/reels/DZKBO1RoKIf/
pak purbaya ketika bl tahan rupiah bapak pingin mencairkan ketika dolar kuat di serahkan bl jangan banyak intervensi bl sekarang coba naikan bunga deposito,neutral,0.9859,https://www.instagram.com/reels/DZKBO1RoKIf/
mulai lempar lemparan ...,negative,0.8892,https://www.instagram.com/reels/DZKBO1RoKIf/
purbaya sok tau,negative,0.9411,https://www.instagram.com/reels/DZKBO1RoKIf/
"dari video ini pak pur udah ga senyum, kata presiden kan kalo pak pur dah ga senyum berarti udah gawat",negative,0.9877,https://www.instagram.com/reels/DZKBO1RoKIf/
sylvie vartan  la maritza,neutral,0.7578,https://www.instagram.com/reels/DZKBO1RoKIf/
kapan tembus 20.000 pak....,negative,0.7722,https://www.instagram.com/reels/DZKBO1RoKIf/
serahkan yg sering ngayap sama pacaran ke luar negri,negative,0.9954,https://www.instagram.com/reels/DZKBO1RoKIf/
"mending jujur aja pak kondisi ekonomi kita saat ini sprti apa? ajak swasta utk mikirin strateginya seperti apa, permudah regulasi pemerintah dgn tetap menjalankan fungsi kontrol dan monitoringnya,,, jgn diskusi sama org partai pak, beda hasilnya",negative,0.9248,https://www.instagram.com/reels/DZKBO1RoKIf/
coba wawancara juga ke gubernur bi. apa langkah nyatanya sekarang.,negative,0.9148,https://www.instagram.com/reels/DZKBO1RoKIf/
semangat ya pak,positive,0.9406,https://www.instagram.com/reels/DZKBO1RoKIf/
anda lihat saya panik? nggak! ,negative,0.9636,https://www.instagram.com/reels/DZKBO1RoKIf/
"ayo p pur,katanya jagooo, pintar..katanya berada di belakang 3 presiden dlm hal ksh saran dulu dulu,jgn kalah ama sm...",positive,0.6106,https://www.instagram.com/reels/DZKBO1RoKIf/
"ekonomi kita masih baik, tunggu hancur?",negative,0.8734,https://www.instagram.com/reels/DZKBO1RoKIf/
gak usah denial pak ngomong aja udah gak senyum lagi gtu kok,negative,0.9973,https://www.instagram.com/reels/DZKBO1RoKIf/
masyarakat indonesia yang panikan sama dollar cuma para pengusaha saya sebagai rakyat biasa santai saja,negative,0.986,https://www.instagram.com/reels/DZKBO1RoKIf/
"katanya doktor lulusan purdue? ah, malumaluin aja.",negative,0.9983,https://www.instagram.com/reels/DZKBO1RoKIf/
kannn akhirnya cuci tangan ,negative,0.8104,https://www.instagram.com/reels/DZKBO1RoKIf/
si gembrot masih egois susah,negative,0.9992,https://www.instagram.com/reels/DZKBO1RoKIf/
pak purbaya tak berdaya bang lihat gestur tubuh nya bang,negative,0.9639,https://www.instagram.com/reels/DZKBO1RoKIf/
bacot gaya doank tapi otak kosong,negative,0.9986,https://www.instagram.com/reels/DZKBO1RoKIf/
pak panik pak masalah nya prabowo mikir kalau bapak baik baik saja berarti aman...padahal gak seaman itu,negative,0.9984,https://www.instagram.com/reels/DZKBO1RoKIf/
"yg panik kita2, rakyat bro",negative,0.9976,https://www.instagram.com/reels/DZKBO1RoKIf/
"pak katanya rupiah turun harta atasan bi ada yang malah meningkat pesat, perlu dicek kembali tuh ...",neutral,0.5846,https://www.instagram.com/reels/DZKBO1RoKIf/
"pak menteri, bi itu cuma ugd, dokter spesialisnya itu tim anda. bi cuma punya parasetamol intervensi idr tapi penyakit aslinya pemborosan fiskal, tata kelola, dll tim anda yang harus beresin. jangan lempar batu abis itu ngumpet..",negative,0.9977,https://www.instagram.com/reels/DZKBO1RoKIf/
"mulai diem kan bacotnya, kmrin ini org yg teriak2 turun 15rb",negative,0.9986,https://www.instagram.com/reels/DZKBO1RoKIf/
biasa...saling lempar...haha..matak tong loba gaya euuyy...,negative,0.9329,https://www.instagram.com/reels/DZKBO1RoKIf/
mentri yang hanya bisa sesumbar di medsos hasil kerja nol... tong kosong nyaring bunyinya,negative,0.9984,https://www.instagram.com/reels/DZKBO1RoKIf/
liat dong direktur bi siapa. dari awal emang apa sih yang buat kepercayaan investor turun. rupiah anjlok.,negative,0.9916,https://www.instagram.com/reels/DZKBO1RoKIf/
g sanggup kan lu pak dah mundur ja lahpurbayayudhi,negative,0.9941,https://www.instagram.com/reels/DZKBO1RoKIf/
memang tidak mudah ngelawan mafia global. perlu keberanian dan kecerdasan ekstraordinary,positive,0.5477,https://www.instagram.com/reels/DZKBO1RoKIf/
tembus 20rb br panik,negative,0.9934,https://www.instagram.com/reels/DZKBO1RoKIf/
mulai stres.. lempar k bi.. kebijakan fiskal bro yg hrs d perbaiki..,negative,0.9974,https://www.instagram.com/reels/DZKBO1RoKIf/
gk panik sampe 25rb ya gk pur?  lu mau ikutin jejak rumah lu dijarah warga lagi kyk si mantan?,negative,0.9978,https://www.instagram.com/reels/DZKBO1RoKIf/
"anda ngga panik biar rupiah sampe 20 ribu,karna uang anda masi banyak walaupun anda di pecat,beda sama kami rakyat biasa berbelanja di pasar harga semakin naik semua",positive,0.7973,https://www.instagram.com/reels/DZKBO1RoKIf/
hahaha titipan bi mana tuh,negative,0.9968,https://www.instagram.com/reels/DZKBO1RoKIf/
"sekarang yang panik rakyat, pejabat di atas malah santai2 saja. beda sama zaman pak habibie",negative,0.9957,https://www.instagram.com/reels/DZKBO1RoKIf/
gubernur bi nya siapa ,negative,0.7599,https://www.instagram.com/reels/DZKBO1RoKIf/
gak punya wa grup finansial apa yah.. masing2 aja,negative,0.6574,https://www.instagram.com/reels/DZKBO1RoKIf/
"udah dibilang pasti di lempar ke bi, karena bi ga bakalan bisa kena intervensi siapapun, ujungnya mentok di bi. inilah langkah cerdasnya pemerintah untuk disalahkan",negative,0.9936,https://www.instagram.com/reels/DZKBO1RoKIf/
"bapak mah nggak panik, msh punya gaji gede, tunjangan gede, bonus gede pak... laah kalo harga tambah naik, rakyat yang panik lho pak....",negative,0.8211,https://www.instagram.com/reels/DZKBO1RoKIf/
menkeu paling berisik,neutral,0.8194,https://www.instagram.com/reels/DZKBO1RoKIf/
ga ada niatan berhenti gitu pak?,negative,0.9857,https://www.instagram.com/reels/DZKBO1RoKIf/
pak purbaya udah pengen resign itu.,negative,0.8432,https://www.instagram.com/reels/DZKBO1RoKIf/
ga senyum udh ga baik baik aja,negative,0.9978,https://www.instagram.com/reels/DZKBO1RoKIf/
pak pak apalagi drama ini pak,positive,0.9408,https://www.instagram.com/reels/DZKBO1RoKIf/
"si tukng omdo mulai gugup hoki amt lho dia, mdel sdm rendh bgtu bisa dpt kursi jabatan luar biasa kau purrr. perbnyk omdony lgi yhhhh",positive,0.9783,https://www.instagram.com/reels/DZKBO1RoKIf/
"banyak begal, preman, maling motor, sehingga bule takut ke indo, wisatawan takut inves di indo pak, sehingga kemungkinan pendapatan visa, valas berkurang, ayok dong perbaiki, masyarakat ingin hak keamanannya ",negative,0.9974,https://www.instagram.com/reels/DZKBO1RoKIf/
"proposal buat presiden  mohon bisa segera rombak jajaran bank sentral, ganti personel personel yang tidak kompeten atau tidak mengerti tidak memiliki ilmu , sebagai banl regulator. termasuk kerabat presiden. posisikan beliau ditempat yang sesuai dengan skillnya, dan ditempat yang lessvital. demikian saran.",negative,0.3959,https://www.instagram.com/reels/DZKBO1RoKIf/
tumben ga cengengesan,negative,0.6489,https://www.instagram.com/reels/DZKBO1RoKIf/
"ujug2 meledak ,,ngeriii...",negative,0.9964,https://www.instagram.com/reels/DZKBO1RoKIf/
gak paniklah pendapatanya ratusan x lipat umr ,negative,0.6851,https://www.instagram.com/reels/DZKBO1RoKIf/
uda bener ga masuk pemerintahan malah nawarin diri,negative,0.9924,https://www.instagram.com/reels/DZKBO1RoKIf/
"kaco purbaya, kenapa gak mundur aja dia??",negative,0.7705,https://www.instagram.com/reels/DZKBO1RoKIf/
yg punya duit bnyk kaya mentri pejabat penikmat pajak rakyat mah gak panik,negative,0.8911,https://www.instagram.com/reels/DZKBO1RoKIf/
waaah emang klo 18.000 naik seberapa jauh,negative,0.9858,https://www.instagram.com/reels/DZKBO1RoKIf/
"coba suruh dia aja jadi gubernurbank_indonesia, kn kmrn dia blg dalam semalam bisa rupiah ke 15k tuh, ayo dongprabowokita buktikan omongan si koboy ",negative,0.9694,https://www.instagram.com/reels/DZKBO1RoKIf/
bilang aja gak mampu bos!!!,negative,0.9974,https://www.instagram.com/reels/DZKBO1RoKIf/
ledakin aja udah nanggung,negative,0.9978,https://www.instagram.com/reels/DZKBO1RoKIf/
ga ada wa atau telepon kah? abis pulsa? ,negative,0.9337,https://www.instagram.com/reels/DZKBO1RoKIf/
"bilang pak pur ke media yg bikin naek atasan gw, asal ngomong kl pidato, jd investor asing pada kabur",negative,0.9966,https://www.instagram.com/reels/DZKBO1RoKIf/
lah kok tanya saya....,negative,0.9807,https://www.instagram.com/reels/DZKBO1RoKIf/
mau rupiah 20.000 ribu pun ga akan panik sih kan cuma menjalankan tugas dapet gaji gede. udah lebih dari cukup. yg panik yg dibawah harga kebutuhan naik signifikan ,negative,0.6184,https://www.instagram.com/reels/DZKBO1RoKIf/
"mo nyalahin faktor eksternal, malaysia g gini² amat pak",negative,0.9709,https://www.instagram.com/reels/DZKBO1RoKIf/
tp bukannya bilang mau ke 15.000??????? bukannya harus bantu sana,negative,0.9971,https://www.instagram.com/reels/DZKBO1RoKIf/
katanya 15ribu? lain hari lain omongan ni purbadut,negative,0.9942,https://www.instagram.com/reels/DZKBO1RoKIf/
anda memng tidak panik.yg panik sekitar 200 juta rakyat miskin indonesia,negative,0.9651,https://www.instagram.com/reels/DZKBO1RoKIf/
paak ini keadaan udh harus dintervensi loh,negative,0.9956,https://www.instagram.com/reels/DZKBO1RoKIf/
"bi mestinya bilang  presiden yang ugalugalan impor motor bgn, impor susu, sering jalanjalan ke ln, trus gw bisa apa?",negative,0.9885,https://www.instagram.com/reels/DZKBO1RoKIf/
wkkwkwkw lempar2an purbacot,negative,0.9872,https://www.instagram.com/reels/DZKBO1RoKIf/
"imf..... institusi setan ribawi dajjal laknatulah yang sangat zholim menindas rakyat indonesia dengan mengacak acak bursa saham indonesia, menurunkan daya beli rupiah ... bubarkan bi.. boneka cukong bankir oligarki dunia imf dan bank dunia ribawi dajjal laknatulah yang sangat zholim menindas umat manusia",negative,0.9986,https://www.instagram.com/reels/DZKBO1RoKIf/
min coba cecer gub bi nya biar balance beritanya. biar gub bi viralnya sebanding dg pak pur,neutral,0.4351,https://www.instagram.com/reels/DZKBO1RoKIf/
pak pur mulai oleng  ,neutral,0.8461,https://www.instagram.com/reels/DZKBO1RoKIf/
udah gini baru main lempar2 an !!!!!,negative,0.9988,https://www.instagram.com/reels/DZKBO1RoKIf/
minta pemilu ulang boleh gak ???,neutral,0.7848,https://www.instagram.com/reels/DZKBO1RoKIf/
ping pong pun dimulai. ,negative,0.8355,https://www.instagram.com/reels/DZKBO1RoKIf/
hadehhh banyak bacot buat rupiah anjlok bilang yakin bla bla bla,negative,0.9963,https://www.instagram.com/reels/DZKBO1RoKIf/
"dia panik kalo sudah gak digaji , selama masih digaji mana mungkin panik",negative,0.9967,https://www.instagram.com/reels/DZKBO1RoKIf/
fiskal gimana pak? bi kan moneter..,neutral,0.9754,https://www.instagram.com/reels/DZKBO1RoKIf/
susah klo presidennya denial,negative,0.9986,https://www.instagram.com/reels/DZKBO1RoKIf/
gile tembus 18rb masih dibilang baik ,positive,0.6841,https://www.instagram.com/reels/DZKBO1RoKIf/
rupiah bgini msh aja fokus urus mbg d sicc ,negative,0.6106,https://www.instagram.com/reels/DZKBO1RoKIf/
"jago narasi, eksekusi nol",negative,0.7462,https://www.instagram.com/reels/DZKBO1RoKIf/
demam badan udh 39 masih bilang sehat2 aja,negative,0.9101,https://www.instagram.com/reels/DZKBO1RoKIf/
ga usa panik...krn org desa ga pake dollar,negative,0.6919,https://www.instagram.com/reels/DZKBO1RoKIf/
